Account Name,Account Type,Request Type,Status,Request Received Date,Row Type,Start Date/Time,End Date/Time,Nights/Days,Meal Plan,Total Rooms,Total Room Nights,Total Cost,Number of Guests,Package Plan,Meeting Room Name,Event Start Date,Event End Date
Al Qabbani Travel,Travel Agency,Group Accommodation,Actual,10/3/2025,Accommodation,10/9/2025,10/11/2025,2,Half Board (Breakfast + Dinner),9,18,29221.5,,,,,
Sahary AlUla Resort,Hospitality,Series Group,Actual,9/25/2025,Series Entry 1,11/9/2025,11/10/2025,1,,21,21,43107.75,,,,,
Sahary AlUla Resort,Hospitality,Series Group,Actual,9/25/2025,Series Entry 2,11/25/2025,11/26/2025,1,,6,6,13403.22,,,,,
Sahary AlUla Resort,Hospitality,Series Group,Actual,9/25/2025,Series Entry 3,11/25/2025,11/26/2025,1,,2,2,5313,,,,,
First One Events,Travel Agency,Group Accommodation,Actual,11/5/2025,Accommodation,12/2/2025,12/4/2025,2,Bed & Breakfast,11,22,44435.9,,,,,
Al-Ula Guide,Travel Agency,Event with Rooms,Actual,10/23/2025,Accommodation,12/7/2025,12/11/2025,4,Bed & Breakfast,10,40,106501.4,,,,,
Al-Ula Guide,Travel Agency,Event with Rooms,Actual,10/23/2025,Event,12/7/2025,12/7/2025,1,,,,2300,10,,IKMA,12/7/2025,12/7/2025
Al-Ula Guide,Travel Agency,Event with Rooms,Actual,10/23/2025,Event,12/8/2025,12/8/2025,1,,,,5460,10,Coffee Break and lunch,IKMA,12/8/2025,12/8/2025
Al-Ula Guide,Travel Agency,Event with Rooms,Actual,10/23/2025,Event,12/9/2025,12/9/2025,1,,,,5460,10,Coffee Break and lunch,IKMA,12/9/2025,12/9/2025
Al-Ula Guide,Travel Agency,Event with Rooms,Actual,10/23/2025,Event,12/10/2025,12/10/2025,1,,,,5460,10,Coffee Break and lunch,IKMA,12/10/2025,12/10/2025
Sahary AlUla Resort,Hospitality,Series Group,Actual,11/2/2025,Series Entry 1,12/28/2025,12/29/2025,1,,11,11,22015.73,,,,,
Sahary AlUla Resort,Hospitality,Series Group,Actual,11/2/2025,Series Entry 2,12/28/2025,12/29/2025,1,,4,4,8488.72,,,,,
Sahary AlUla Resort,Hospitality,Series Group,Actual,11/2/2025,Series Entry 3,12/30/2025,12/31/2025,1,,4,4,10179.2,,,,,
Sahary AlUla Resort,Hospitality,Series Group,Actual,11/2/2025,Series Entry 4,12/30/2025,12/31/2025,1,,12,12,30296.04,,,,,
RCU,Government,Series Group,Actual,12/4/2025,Series Entry 1,1/14/2026,1/18/2026,4,,20,80,208172.8,,,,,
RCU,Government,Series Group,Actual,12/4/2025,Series Entry 2,1/22/2026,1/25/2026,3,,10,30,78064.8,,,,,
RCU,Government,Series Group,Actual,12/4/2025,Series Entry 3,1/30/2026,2/1/2026,2,,10,20,52043.2,,,,,
Ushine HalaNawart Tour Operator Company,Travel Agency,Group Accommodation,Actual,12/8/2025,Accommodation,12/26/2025,12/28/2025,2,Bed & Breakfast,12,24,51173.76,,,,,
Reach Company,Company,Group Accommodation,Actual,11/30/2025,Accommodation,12/24/2025,12/27/2025,3,Bed & Breakfast,21,63,147554.1,,,,,
Italian Embassy,Government,Group Accommodation,Actual,10/6/2025,Accommodation,10/10/2025,10/12/2025,2,Bed & Breakfast,1,2,2801.4,,,,,
Ivory Training and Consulting,Training and Consulting,Series Group,Actual,9/29/2025,Series Entry 1,10/2/2025,10/3/2025,1,,8,8,10432.8,,,,,
Ivory Training and Consulting,Training and Consulting,Series Group,Actual,9/29/2025,Series Entry 2,10/2/2025,10/5/2025,3,,5,15,19561.5,,,,,
Carmel Tours,Travel Agency,Series Group,Actual,10/2/2025,Series Entry 1,10/3/2025,10/4/2025,1,,3,3,4890.36,,,,,
Carmel Tours,Travel Agency,Series Group,Actual,10/2/2025,Series Entry 2,10/3/2025,10/5/2025,2,,1,2,3260.24,,,,,
Carmel Tours,Travel Agency,Event Only,Actual,10/2/2025,Event,10/3/2025,10/3/2025,1,,,,2127.5,5,,Board Room,10/3/2025,10/3/2025
Go Easy International Travel,Travel Agency,Group Accommodation,Actual,10/1/2025,Accommodation,10/4/2025,10/5/2025,1,Bed & Breakfast,6,6,8307.6,,,,,
Baltic Saitas,Travel Agency,Group Accommodation,Actual,10/1/2025,Accommodation,11/13/2025,11/15/2025,2,Bed & Breakfast,6,12,26878.92,,,,,
Glomacs Training and Consulting,Training and Consulting,Event with Rooms,Actual,10/22/2025,Accommodation,10/26/2025,11/2/2025,7,Bed & Breakfast,1,7,12171.6,,,,,
